Protein,Community
SRP14,0
RPL30,0
YDR114C,1
TIM9,1
IMP3,1
SRP21,1
HIS1,2
LSM5,2
LYS2,0
SMD3,0
MIM1,0
RPL36B,0
ATP16,3
SMB1,3
TFC7,3
LYS4,4
HIS2,4
HIS5,4
"ARG5,6",5
LYS1,5
NOT5,5
RIB1,5
YDR246W-A,6
VMA16,6
UBA2,7
MPS2,7
YDR261W-A,8
YLR410W-B,8
TRP5,9
YRF1-6,9
FOL3,8
FOL1,8
FYV6,10
CPA1,10
MNN9,10
IES6,11
RPL27A,11
RPL13B,11
RPL18A,11
CUP1-1,12
YJR112W-A,12
OCH1,12
YHL009W-B,12
YNL184C,13
MSE1,13
SRB5,3
CNS1,12
TRM5,3
GRR1,12
YLR358C,12
AVT2,3
YBL100W-A,12
SAM50,12
NDD1,12
MSR1,12
SNP1,3
RSC30,3
FLO5,8
COS3,8
ERG28,0
SCP160,14
GCR1,14
RPL39,8
GPI8,34
TRS23,34
YSH1,16
TOM40,16
RFC4,17
ALG14,17
YAR010C,14
SSL1,18
RPT6,18
EFR3,14
KAR1,8
YEL023C,8
SDS3,19
SGF73,19
PEP5,7
NUD1,8
DBF4,20
RPN6,20
SEC63,18
NBP2,34
RPT4,34
NSR1,14
TSC11,22
ALA1,22
STE50,23
VPS41,23
DAL81,24
EOS1,24
PHO80,25
RIM20,25
MYO2,34
PRE4,34
GWT1,27
SED5,27
BET3,27
SAP30,28
PTI1,28
MED8,29
SGT1,29
ECM33,19
VPS72,30
VPS38,30
PAN1,18
NEO1,18
VPS30,19
CDC4,18
CDC20,18
SWI6,32
BTS1,32
MTC1,34
GPI16,34
SLA1,19
GPI10,27
GPI17,34
DPB11,35
ABD1,35
HSH155,8
QRI1,20
PAM16,20
BMH1,36
DEG1,36
ROK1,37
YAL067W-A,37
DPM1,38
FRQ1,38
BET5,34
YPT1,34
VPS21,39
UBR2,39
MGA2,40
BET4,40
SRN2,39
NUP188,41
SMC1,41
RSP5,42
CDC1,42
IES2,43
DUO1,43
PEP8,30
LSM1,44
RSC8,44
CFT2,45
COF1,45
TAD3,46
RGR1,46
DRS2,20
YHC1,20
ORM2,34
AAR2,34
BRL1,34
TAF13,28
LDB18,28
SMP3,47
YIP1,47
CTF8,34
NMT1,34
ARC15,38
TLG2,34
VPS51,34
SPT20,5
RNT1,48
RNA15,48
CKS1,38
VAN1,38
BEM2,49
SEC17,49
RPN5,34
TOA1,38
VPS17,34
PTC1,50
GPI13,50
POB3,51
TCP1,51
CSE2,52
NUP133,52
UME6,52
RPC34,53
STT3,53
NUT2,22
LST8,54
UBP3,54
SEC27,38
RPN12,38
CEG1,34
DOA1,55
SUB1,55
ELP2,56
VAM6,56
GPI19,34
HCM1,57
URM1,57
SEC28,58
BEM1,58
NSE3,54
ARP6,59
CDC60,59
NSL1,34
RPA190,18
CDC48,18
SEC12,20
RPD3,32
DRE2,14
RTF1,56
HRR25,18
SAD1,60
IPL1,60
RPN4,61
SPT3,61
SWC5,50
ORC3,62
RSE1,62
SEC16,30
PRP2,41
SKY1,59
SWC3,63
SEM1,63
GAS1,19
ICE2,54
APC5,64
CCT4,64
RER2,54
GET1,28
ALG6,34
EMG1,22
SEC62,27
PKR1,56
BRN1,22
MCM10,34
MNN10,19
SIN4,65
BUB3,65
ARV1,61
MRPL7,37
SFL1,33
YPT7,33
UBP6,15
CTI6,15
RDS3,34
SSE1,24
SWR1,44
SLU7,21
POL3,21
RIC1,26
PKC1,26
SWC4,18
GPN2,34
HSL1,31
UBA4,31
DEP1,24
