Protein1,Protein2,Confidence
SRP14,RPL30,1.0
YDR114C,TIM9,1.0
YDR114C,IMP3,1.0
YDR114C,SRP21,1.0
TIM9,IMP3,1.0
TIM9,SRP21,1.0
HIS1,LSM5,1.0
IMP3,SRP21,1.0
LYS2,SMD3,1.0
LYS2,MIM1,1.0
LYS2,RPL36B,1.0
ATP16,SMB1,1.0
ATP16,TFC7,1.0
LYS4,HIS2,1.0
LYS4,HIS5,1.0
SMB1,TFC7,1.0
HIS2,HIS5,1.0
SMD3,MIM1,1.0
SMD3,RPL36B,1.0
MIM1,RPL36B,1.0
"ARG5,6",LYS1,1.0
"ARG5,6",NOT5,1.0
"ARG5,6",RIB1,1.0
LYS1,NOT5,1.0
LYS1,RIB1,1.0
NOT5,RIB1,1.0
YDR246W-A,VMA16,1.0
UBA2,MPS2,1.0
YDR261W-A,YLR410W-B,1.0
TRP5,YRF1-6,1.0
FOL3,FOL1,0.9999999701976776
FYV6,CPA1,0.9999999403953552
FYV6,MNN9,0.9999999403953552
CPA1,MNN9,0.9999999403953552
IES6,RPL27A,0.9999999403953552
IES6,RPL13B,0.9999999403953552
IES6,RPL18A,0.9999999403953552
RPL27A,RPL13B,0.9999999403953552
RPL27A,RPL18A,0.9999999403953552
CUP1-1,YJR112W-A,0.9999999403953552
RPL13B,RPL18A,0.9999999403953552
OCH1,YHL009W-B,0.9999999403953552
YNL184C,MSE1,0.9999999403953552
ATP16,SRB5,0.9999972283840179
SMB1,SRB5,0.9999972283840179
TFC7,SRB5,0.9999972283840179
CNS1,YHL009W-B,0.9999816417694092
ATP16,TRM5,0.9999797344207764
SMB1,TRM5,0.9999797344207764
TFC7,TRM5,0.9999797344207764
OCH1,CNS1,0.9999786913394928
GRR1,CNS1,0.9999761283397675
OCH1,YLR358C,0.9999749064445496
ATP16,AVT2,0.999974250793457
SMB1,AVT2,0.999974250793457
TFC7,AVT2,0.999974250793457
YHL009W-B,YLR358C,0.999971330165863
SRB5,TRM5,0.9999668300151825
SRB5,AVT2,0.9999652206897736
TRM5,AVT2,0.9999613165855408
YBL100W-A,SAM50,0.9999611973762512
SAM50,CNS1,0.9999506771564484
GRR1,YHL009W-B,0.9999479949474335
NDD1,MSR1,0.9999463856220245
GRR1,OCH1,0.9999441802501678
GRR1,SAM50,0.9999441206455231
SNP1,RSC30,0.999935120344162
TRM5,RSC30,0.999922901391983
YBL100W-A,CUP1-1,0.9999116659164429
YBL100W-A,YJR112W-A,0.9999116659164429
CNS1,YLR358C,0.9999076128005981
SAM50,YHL009W-B,0.9998723864555359
FLO5,COS3,0.9998660087585449
OCH1,SAM50,0.9998643696308136
GRR1,YLR358C,0.9998597502708435
AVT2,RSC30,0.9998365044593811
GRR1,YBL100W-A,0.9998335540294647
ATP16,RSC30,0.9998298287391663
SMB1,RSC30,0.9998298287391663
TFC7,RSC30,0.9998298287391663
YBL100W-A,CNS1,0.9998252093791962
SRB5,RSC30,0.9997914731502533
CUP1-1,SNP1,0.9997591972351074
YJR112W-A,SNP1,0.9997591972351074
CUP1-1,SAM50,0.9997577369213104
YJR112W-A,SAM50,0.9997577369213104
SRP14,ERG28,0.9997241199016571
ERG28,RPL30,0.9997241199016571
SAM50,YLR358C,0.9997234046459198
TRM5,SNP1,0.9997188150882721
YBL100W-A,YHL009W-B,0.9996939897537231
SCP160,GCR1,0.9996890127658844
YBL100W-A,OCH1,0.9996819496154785
FLO5,RPL39,0.9996572732925415
GPI8,TRS23,0.9996531307697296
YLR358C,MSR1,0.999647706747055
YSH1,TOM40,0.9996387362480164
RFC4,ALG14,0.9996030926704407
YAR010C,GCR1,0.9996005892753601
COS3,RPL39,0.9995958805084229
SNP1,AVT2,0.9995918571949005
SSL1,RPT6,0.9995796084403992
SCP160,EFR3,0.9995770156383514
YAR010C,SCP160,0.999573677778244
SRP14,LYS2,0.9995658099651337
SRP14,SMD3,0.9995658099651337
SRP14,MIM1,0.9995658099651337
SRP14,RPL36B,0.9995658099651337
RPL30,LYS2,0.9995658099651337
RPL30,SMD3,0.9995658099651337
RPL30,MIM1,0.9995658099651337
RPL30,RPL36B,0.9995658099651337
KAR1,YEL023C,0.999563992023468
ATP16,SNP1,0.9995615780353546
SMB1,SNP1,0.9995615780353546
TFC7,SNP1,0.9995615780353546
SDS3,SGF73,0.9995361864566803
GRR1,CUP1-1,0.9995283782482147
GRR1,YJR112W-A,0.9995283782482147
PEP5,UBA2,0.9995070397853851
PEP5,MPS2,0.9995070397853851
FOL3,YEL023C,0.999502032995224
FOL1,YEL023C,0.999502032995224
SRB5,SNP1,0.9995006918907166
NUD1,RPL39,0.9994981586933136
CUP1-1,CNS1,0.9994954466819763
YJR112W-A,CNS1,0.9994954466819763
DBF4,RPN6,0.9994901418685913
NUD1,KAR1,0.9994874596595764
SEC63,SSL1,0.9994801878929138
YBL100W-A,YLR358C,0.9994795620441437
NBP2,RPT4,0.9994777739048004
NSR1,GCR1,0.9994763731956482
TSC11,ALA1,0.9994657635688782
CUP1-1,RSC30,0.9994609951972961
YJR112W-A,RSC30,0.9994609951972961
NUD1,FOL3,0.9994521141052246
NUD1,FOL1,0.9994521141052246
STE50,VPS41,0.9994472563266754
OCH1,MSR1,0.9994365870952606
DAL81,EOS1,0.9994297325611115
YHL009W-B,MSR1,0.9994204640388489
PHO80,RIM20,0.9994202554225922
MYO2,PRE4,0.999419629573822
GWT1,SED5,0.9994162619113922
GWT1,BET3,0.9994088113307953
SAP30,PTI1,0.9994083344936371
NUD1,YEL023C,0.9994017779827118
MED8,SGT1,0.9993994832038879
YBL100W-A,SNP1,0.9993989765644073
SGF73,ECM33,0.9993965029716492
VPS72,VPS38,0.999386727809906
PAN1,NEO1,0.9993815124034882
SGF73,VPS30,0.9993794560432434
NUD1,FLO5,0.9993743002414703
CDC4,CDC20,0.9993736445903778
SWI6,BTS1,0.9993707537651062
MTC1,GPI16,0.9993628561496735
SLA1,SDS3,0.9993614256381989
GPI10,SED5,0.9993492364883423
GPI17,MYO2,0.9993470013141632
DPB11,ABD1,0.9993461072444916
FOL3,HSH155,0.9993456900119781
FOL1,HSH155,0.9993456900119781
QRI1,PAM16,0.9993425905704498
YAR010C,EFR3,0.9993419647216797
BMH1,DEG1,0.9993377327919006
KAR1,FOL3,0.9993294477462769
KAR1,FOL1,0.9993294477462769
NSR1,YAR010C,0.9993253350257874
ROK1,YAL067W-A,0.9993250668048859
NDD1,YLR358C,0.9993237257003784
DPM1,FRQ1,0.9993199706077576
BET5,YPT1,0.9993197619915009
FOL3,YDR261W-A,0.9993188381195068
FOL3,YLR410W-B,0.9993188381195068
FOL1,YDR261W-A,0.9993188381195068
FOL1,YLR410W-B,0.9993188381195068
VPS21,UBR2,0.9993045628070831
MGA2,BET4,0.9992997050285339
VPS21,SRN2,0.9992975294589996
NUP188,SMC1,0.9992900490760803
CUP1-1,YHL009W-B,0.9992877840995789
YJR112W-A,YHL009W-B,0.9992877840995789
RSP5,CDC1,0.9992839097976685
IES2,DUO1,0.9992783963680267
VPS38,PEP8,0.9992735981941223
CUP1-1,OCH1,0.9992696642875671
YJR112W-A,OCH1,0.9992696642875671
LSM1,RSC8,0.999248743057251
CFT2,COF1,0.9992476105690002
TAD3,RGR1,0.9992472231388092
DRS2,YHC1,0.9992452561855316
ORM2,AAR2,0.9992450475692749
NBP2,BRL1,0.9992447793483734
GPI16,MYO2,0.9992404580116272
SEC63,RPT6,0.9992395043373108
TAF13,LDB18,0.999239444732666
SMP3,YIP1,0.9992387890815735
CTF8,NMT1,0.9992350339889526
DPM1,ARC15,0.9992252886295319
TLG2,VPS51,0.999221920967102
SPT20,"ARG5,6",0.9992187917232513
SPT20,LYS1,0.9992187917232513
SPT20,NOT5,0.9992187917232513
SPT20,RIB1,0.9992187917232513
RNT1,RNA15,0.9992169737815857
CKS1,VAN1,0.9992157816886902
BEM2,SEC17,0.9992124438285828
BET3,SED5,0.9992122054100037
RPT4,RPN5,0.999210387468338
TOA1,VAN1,0.9992076754570007
TLG2,VPS17,0.999207079410553
TRS23,PRE4,0.9992062151432037
PTC1,GPI13,0.9992048144340515
POB3,TCP1,0.9992044866085052
SDS3,ECM33,0.9992041289806366
CSE2,NUP133,0.9992034733295441
UME6,NUP133,0.9992030262947083
TLG2,GPI16,0.999200850725174
ARC15,TOA1,0.9992004334926605
CNS1,MSR1,0.999200314283371
RPC34,STT3,0.9991993308067322
GPI17,GPI16,0.9991959035396576
RPN6,QRI1,0.9991908371448517
TSC11,NUT2,0.9991882741451263
LST8,UBP3,0.9991882145404816
SEC27,RPN12,0.9991878569126129
NSR1,SCP160,0.9991824328899384
NBP2,CEG1,0.9991804361343384
DOA1,SUB1,0.9991790950298309
ELP2,VAM6,0.999176949262619
SDS3,VPS30,0.9991754293441772
GPI19,AAR2,0.9991746246814728
HCM1,URM1,0.9991693496704102
SEC28,BEM1,0.9991665780544281
UBP3,NSE3,0.9991635978221893
RPN12,TOA1,0.9991629421710968
ARP6,CDC60,0.9991602301597595
RPN5,AAR2,0.9991550445556641
DBF4,PAM16,0.9991466104984283
NSL1,PRE4,0.9991459548473358
RPA190,CDC48,0.9991452693939209
CDC48,CDC20,0.9991428554058075
SEC12,PAM16,0.9991414248943329
SWI6,RPD3,0.9991386234760284
NSR1,DRE2,0.9991383850574493
RTF1,VAM6,0.9991379976272583
HRR25,CDC4,0.9991340339183807
SAD1,IPL1,0.9991331696510315
RPN4,SPT3,0.9991275668144226
SWC5,PTC1,0.9991273283958435
VPS30,ECM33,0.9991233050823212
ORC3,RSE1,0.9991202056407928
VPS72,SEC16,0.9991191327571869
PRP2,SMC1,0.9991182684898376
ARP6,SKY1,0.9991167485713959
SWC3,SEM1,0.9991134107112885
GAS1,SDS3,0.9991106688976288
ICE2,LST8,0.9991106688976288
NEO1,RPT6,0.9991103112697601
APC5,CCT4,0.9991062879562378
UBP3,RER2,0.9991036355495453
GRR1,MSR1,0.9991035163402557
GET1,PTI1,0.9990995824337006
CTF8,GPI16,0.9990944564342499
GPI17,GPI19,0.9990936815738678
ALG6,TLG2,0.9990909099578857
TSC11,EMG1,0.9990836679935455
GAS1,SGF73,0.9990813136100769
EFR3,GCR1,0.9990810453891754
PTI1,LDB18,0.9990804195404053
SEC62,SED5,0.9990802705287933
SSL1,HRR25,0.9990763068199158
PKR1,ELP2,0.9990741908550262
EMG1,BRN1,0.9990738034248352
GPI8,MCM10,0.9990721940994263
SDS3,MNN10,0.9990710318088531
TRS23,MCM10,0.9990687668323517
SAM50,SNP1,0.9990683197975159
SIN4,BUB3,0.9990648925304413
RPN12,VAN1,0.999062567949295
ARV1,RPN4,0.999058872461319
YAL067W-A,MRPL7,0.9990583062171936
SLA1,SGF73,0.9990567266941071
TRS23,BET5,0.9990544319152832
SFL1,YPT7,0.9990526735782623
UBP6,CTI6,0.99905064702034
MYO2,RDS3,0.9990473985671997
EOS1,SSE1,0.9990472793579102
SWR1,RSC8,0.99904665350914
SLU7,POL3,0.9990451037883759
RIC1,PKC1,0.9990445971488953
HRR25,SWC4,0.9990440607070923
CSE2,UME6,0.9990422427654266
NDD1,OCH1,0.999041885137558
PRE4,GPN2,0.999041736125946
DRS2,RPN6,0.9990401268005371
HSL1,UBA4,0.9990390539169312
DEP1,DAL81,0.9990362524986267
