Community,Num Genes,Status,Output File
community_0,7,No enrichment found,
community_1,4,Skipped (too few genes),
community_10,3,Skipped (too few genes),
community_11,4,Skipped (too few genes),
community_12,11,No enrichment found,
community_13,2,Skipped (too few genes),
community_14,6,Enriched,.\go_results\community_14_enrichment.csv
community_15,2,Skipped (too few genes),
community_16,2,Skipped (too few genes),
community_17,2,Skipped (too few genes),
community_18,11,Enriched,.\go_results\community_18_enrichment.csv
community_19,7,No enrichment found,
community_2,2,Skipped (too few genes),
community_20,7,No enrichment found,
community_21,2,Skipped (too few genes),
community_22,5,No enrichment found,
community_23,2,Skipped (too few genes),
community_24,4,Skipped (too few genes),
community_25,2,Skipped (too few genes),
community_26,2,Skipped (too few genes),
community_27,5,Enriched,.\go_results\community_27_enrichment.csv
community_28,5,Enriched,.\go_results\community_28_enrichment.csv
community_29,2,Skipped (too few genes),
community_3,8,Enriched,.\go_results\community_3_enrichment.csv
community_30,4,Skipped (too few genes),
community_31,2,Skipped (too few genes),
community_32,3,Skipped (too few genes),
community_33,2,Skipped (too few genes),
community_34,27,Enriched,.\go_results\community_34_enrichment.csv
community_35,2,Skipped (too few genes),
community_36,2,Skipped (too few genes),
community_37,3,Skipped (too few genes),
community_38,8,Enriched,.\go_results\community_38_enrichment.csv
community_39,3,Skipped (too few genes),
community_4,3,Skipped (too few genes),
community_40,2,Skipped (too few genes),
community_41,3,Skipped (too few genes),
community_42,2,Skipped (too few genes),
community_43,2,Skipped (too few genes),
community_44,3,Skipped (too few genes),
community_45,2,Skipped (too few genes),
community_46,2,Skipped (too few genes),
community_47,2,Skipped (too few genes),
community_48,2,Skipped (too few genes),
community_49,2,Skipped (too few genes),
community_5,5,No enrichment found,
community_50,3,Skipped (too few genes),
community_51,2,Skipped (too few genes),
community_52,3,Skipped (too few genes),
community_53,2,Skipped (too few genes),
community_54,5,No enrichment found,
community_55,2,Skipped (too few genes),
community_56,4,Skipped (too few genes),
community_57,2,Skipped (too few genes),
community_58,2,Skipped (too few genes),
community_59,3,Skipped (too few genes),
community_6,2,Skipped (too few genes),
community_60,2,Skipped (too few genes),
community_61,3,Skipped (too few genes),
community_62,2,Skipped (too few genes),
community_63,2,Skipped (too few genes),
community_64,2,Skipped (too few genes),
community_65,2,Skipped (too few genes),
community_7,3,Skipped (too few genes),
community_8,11,No enrichment found,
community_9,2,Skipped (too few genes),
